Participant.ID,PRE.POST,Trial_type,LR_oldmodel,Invtemp_oldmodel,OutSens_recipmodel,Invtemp_recipmodel,LR_recipmodel,LR_inv_recipmodel,nll_1_new_rewsens,nll_2_new_pess
P001,PRE,Punishment,-2.175798981,3.896319876,1.028104423,1.028104423,-2.175798981,-2.175798981,403.2461135,422.5166815
P002,PRE,Punishment,-1.334413172,1.528535391,0.144210842,0.144210842,-1.334413172,-1.334413172,397.2061269,414.8569804
P003,PRE,Punishment,-0.587908021,0.390595658,-1.152510377,-1.152510377,-0.587908021,-0.587908021,389.5021419,391.9141499
P004,PRE,Punishment,-1.332552819,0.899217967,-1.534611645,-1.534611645,-1.332552819,-1.332552819,389.2808027,390.5437116
P005,PRE,Punishment,-0.136858321,2.171809898,-0.725107342,-0.725107342,-0.136858321,-0.136858321,390.8551124,396.7688165
P006,PRE,Punishment,-0.578387854,0.553383474,-1.41865345,-1.41865345,-0.578387854,-0.578387854,389.1521411,390.7250992
P007,PRE,Punishment,-1.561904333,0.204656174,-1.446757972,-1.446757972,-1.561904333,-1.561904333,389.4261699,390.5622752
P008,PRE,Punishment,-3.516904142,0.461519184,1.203301454,1.203301454,-3.516904142,-3.516904142,401.2537646,412.883497
P009,PRE,Punishment,-3.709155734,3.176301545,1.83448376,1.83448376,-3.709155734,-3.709155734,402.1921205,413.6956239
P010,PRE,Punishment,-1.125253794,0.184036977,-0.663484512,-0.663484512,-1.125253794,-1.125253794,391.1107573,397.1023201
P011,PRE,Punishment,-1.493801781,0.383747567,0.318034726,0.318034726,-1.493801781,-1.493801781,398.8705789,418.0931625
P012,PRE,Punishment,-2.750186953,0.00344952,0.303677667,0.303677667,-2.750186953,-2.750186953,396.6928456,406.9327117
P013,PRE,Punishment,-0.453605102,0.313297893,-0.638044519,-0.638044519,-0.453605102,-0.453605102,391.5291472,398.9318053
P014,PRE,Punishment,-2.963228343,2.734045531,1.768601428,1.768601428,-2.963228343,-2.963228343,401.7681698,415.7402399
P015,PRE,Punishment,-1.043146377,0.177553496,-1.202115575,-1.202115575,-1.043146377,-1.043146377,389.5102343,391.7036965
P016,PRE,Punishment,-2.091354151,-0.108501296,-0.621765901,-0.621765901,-2.091354151,-2.091354151,391.5198069,396.2480927
P017,PRE,Punishment,-1.586759903,0.621716616,-1.481269507,-1.481269507,-1.586759903,-1.586759903,389.339214,390.4546594
P018,PRE,Punishment,-3.230266243,3.10181356,1.93212451,1.93212451,-3.230266243,-3.230266243,401.3998259,413.8827696
P020,PRE,Punishment,-2.057640437,0.239582267,-1.193698924,-1.193698924,-2.057640437,-2.057640437,389.9359166,391.2600832
P021,PRE,Punishment,-2.267008955,0.940368347,1.011622034,1.011622034,-2.267008955,-2.267008955,403.2315004,422.9156189
P022,PRE,Punishment,-1.929356309,0.090470314,-0.313487175,-0.313487175,-1.929356309,-1.929356309,393.2926301,402.4146888
P023,PRE,Punishment,-0.421799146,3.65865398,0.95070182,0.95070182,-0.421799146,-0.421799146,399.7732192,417.060441
P024,PRE,Punishment,-3.709208412,3.229574638,1.830024824,1.830024824,-3.709208412,-3.709208412,402.3159053,413.9959151
P025,PRE,Punishment,-1.583946269,1.361673662,-0.923858661,-0.923858661,-1.583946269,-1.583946269,390.2604156,393.6904137
P026,PRE,Punishment,-0.829325572,3.115723746,0.215417299,0.215417299,-0.829325572,-0.829325572,396.8912531,414.0169812
P027,PRE,Punishment,-1.38682422,2.503699898,0.309057592,0.309057592,-1.38682422,-1.38682422,399.0209214,419.4076652
P028,PRE,Punishment,-2.281183986,3.503172652,1.513888127,1.513888127,-2.281183986,-2.281183986,400.7724578,414.8879334
P029,PRE,Punishment,-0.555038206,0.492907601,-0.672388141,-0.672388141,-0.555038206,-0.555038206,391.1609666,397.6201033
P030,PRE,Punishment,-1.125306549,-0.022934825,-0.138657474,-0.138657474,-1.125306549,-1.125306549,394.8351474,408.2677174
P031,PRE,Punishment,-1.04344678,0.816043713,-1.194113631,-1.194113631,-1.04344678,-1.04344678,389.5947451,391.9384691
P032,PRE,Punishment,-1.589328827,3.230357394,0.840901705,0.840901705,-1.589328827,-1.589328827,401.4658084,422.0621629
P033,PRE,Punishment,-0.358846494,0.779429349,-1.064116381,-1.064116381,-0.358846494,-0.358846494,389.756027,392.9327948
P034,PRE,Punishment,-0.80465663,0.837588894,-1.21882271,-1.21882271,-0.80465663,-0.80465663,389.503719,391.8321767
P035,PRE,Punishment,-3.614526743,0.441787486,1.477462197,1.477462197,-3.614526743,-3.614526743,402.3307816,415.1908073
P036,PRE,Punishment,-0.733531799,0.835428287,-0.163622973,-0.163622973,-0.733531799,-0.733531799,393.7550557,406.1870978
P037,PRE,Punishment,-1.591573279,0.184603406,-0.299284983,-0.299284983,-1.591573279,-1.591573279,392.9495071,402.1012792
P038,PRE,Punishment,-0.639282077,0.59923128,-0.384317886,-0.384317886,-0.639282077,-0.639282077,392.2304271,401.0138963
P039,PRE,Punishment,-2.045448332,0.863893998,0.741126693,0.741126693,-2.045448332,-2.045448332,400.5425771,419.0091171
P040,PRE,Punishment,-1.329882184,2.531422982,0.012695752,0.012695752,-1.329882184,-1.329882184,394.8931742,408.138841
P041,PRE,Punishment,-1.342882204,3.239062238,0.871536914,0.871536914,-1.342882204,-1.342882204,400.2361932,419.2217015
P042,PRE,Punishment,-2.101861957,3.074758151,-0.174976205,-0.174976205,-2.101861957,-2.101861957,393.869803,403.2175375
P043,PRE,Punishment,-0.480537336,2.80540789,0.192552385,0.192552385,-0.480537336,-0.480537336,396.6962731,413.26609
P044,PRE,Punishment,-2.435746676,2.595362808,0.748598381,0.748598381,-2.435746676,-2.435746676,400.7322388,418.6765999
P045,PRE,Punishment,-1.650080953,3.564595623,1.225485355,1.225485355,-1.650080953,-1.650080953,400.362218,416.6028998
P046,PRE,Punishment,-0.793496171,0.176969029,-1.091176726,-1.091176726,-0.793496171,-0.793496171,389.8395307,393.0279546
P047,PRE,Punishment,-3.235261236,2.948354787,1.635223345,1.635223345,-3.235261236,-3.235261236,403.0905656,418.2897056
P048,PRE,Punishment,-1.592170508,-0.055051902,-0.75495674,-0.75495674,-1.592170508,-1.592170508,391.1798024,396.8562488
P049,PRE,Punishment,-1.838867331,-0.181417387,-0.118083897,-0.118083897,-1.838867331,-1.838867331,394.5824401,405.8840226
P050,PRE,Punishment,-1.491943444,0.03986022,-1.285074756,-1.285074756,-1.491943444,-1.491943444,389.5611629,391.2836018
P051,PRE,Punishment,-1.669618851,0.588481895,-1.503726725,-1.503726725,-1.669618851,-1.669618851,389.403801,390.4212732
P052,PRE,Punishment,-1.823488996,-0.171599667,-1.102992023,-1.102992023,-1.823488996,-1.823488996,390.0946798,392.3241427
P053,PRE,Punishment,-2.359566722,2.303183016,0.306586008,0.306586008,-2.359566722,-2.359566722,397.7506829,412.2624231
P054,PRE,Punishment,-1.094700883,0.135197463,-0.879341013,-0.879341013,-1.094700883,-1.094700883,390.2357753,394.1292802
P001,POST,Punishment,-3.744125657,1.332216417,2.28930029,2.28930029,-3.744125657,-3.744125657,400.4392116,410.1606566
P002,POST,Punishment,-0.841931943,0.337036438,-1.671921147,-1.671921147,-0.841931943,-0.841931943,389.0956067,390.3750815
P003,POST,Punishment,-0.750027277,0.200554758,-0.475607988,-0.475607988,-0.750027277,-0.750027277,392.0852092,400.5706395
P004,POST,Punishment,-1.645303633,-0.027818657,-0.75989691,-0.75989691,-1.645303633,-1.645303633,390.7202839,394.9594633
P005,POST,Punishment,-0.900235781,0.295487553,-1.422428009,-1.422428009,-0.900235781,-0.900235781,389.2142494,390.7448333
P006,POST,Punishment,-3.028360376,3.62567751,1.415007716,1.415007716,-3.028360376,-3.028360376,404.6076523,421.890237
P007,POST,Punishment,-2.617201813,0.293276852,0.48056934,0.48056934,-2.617201813,-2.617201813,397.7456577,410.5779723
P008,POST,Punishment,-2.743173637,2.747111162,1.327377205,1.327377205,-2.743173637,-2.743173637,403.6316694,421.4778132
P009,POST,Punishment,-3.813396211,1.414847511,1.643074678,1.643074678,-3.813396211,-3.813396211,402.2536053,413.3735366
P010,POST,Punishment,-0.638055039,0.651956817,-0.6073495,-0.6073495,-0.638055039,-0.638055039,391.2021708,397.8022618
P011,POST,Punishment,-1.537176219,2.848276489,0.705209953,0.705209953,-1.537176219,-1.537176219,400.1456693,420.2677747
P012,POST,Punishment,-0.700182157,0.446693568,-1.223061269,-1.223061269,-0.700182157,-0.700182157,389.5912184,392.3073144
P013,POST,Punishment,-0.560860836,0.715214383,-0.975007879,-0.975007879,-0.560860836,-0.560860836,390.0489391,393.9646471
P014,POST,Punishment,-2.351270552,3.463476886,1.674855587,1.674855587,-2.351270552,-2.351270552,399.0468236,410.9186746
P015,POST,Punishment,-1.09120183,-0.07931623,-1.087363862,-1.087363862,-1.09120183,-1.09120183,389.9857578,393.4286049
P016,POST,Punishment,-2.507885681,3.749827143,1.344765505,1.344765505,-2.507885681,-2.507885681,403.3578376,421.3598141
P017,POST,Punishment,-2.925458427,1.668734402,0.818480636,0.818480636,-2.925458427,-2.925458427,399.956372,413.6315014
P018,POST,Punishment,-3.469261617,3.695915242,1.863225794,1.863225794,-3.469261617,-3.469261617,401.9617248,414.7280744
P020,POST,Punishment,-0.9471753,0.01195322,-0.700067586,-0.700067586,-0.9471753,-0.9471753,390.7374864,395.9355226
P021,POST,Punishment,-0.332216197,3.917114823,3.86292656,3.86292656,-0.332216197,-0.332216197,388.5340063,388.5340063
P022,POST,Punishment,-3.315616866,2.314438424,1.800952688,1.800952688,-3.315616866,-3.315616866,402.2043895,415.6441644
P023,POST,Punishment,-1.276521714,0.337732129,-0.538791266,-0.538791266,-1.276521714,-1.276521714,391.8190467,399.017349
P024,POST,Punishment,-3.693446654,3.642588281,2.468366864,2.468366864,-3.693446654,-3.693446654,398.9633201,406.8828732
P025,POST,Punishment,-0.960505349,0.782153593,0.207465152,0.207465152,-0.960505349,-0.960505349,396.7548213,413.4074277
P026,POST,Punishment,-2.219756907,0.168644063,0.36401057,0.36401057,-2.219756907,-2.219756907,398.6511004,415.6399833
P027,POST,Punishment,-0.759744419,3.376945002,0.491364952,0.491364952,-0.759744419,-0.759744419,398.6533675,417.3493995
P028,POST,Punishment,-2.839970565,3.629418666,2.451022926,2.451022926,-2.839970565,-2.839970565,396.3045786,401.7514578
P029,POST,Punishment,-0.210406753,1.003063247,-0.708631579,-0.708631579,-0.210406753,-0.210406753,390.8071054,396.4505028
P030,POST,Punishment,-0.998451623,3.06830002,1.581990645,1.581990645,-0.998451623,-0.998451623,395.6958711,404.5275669
P031,POST,Punishment,-0.507001276,0.528854691,-1.110228544,-1.110228544,-0.507001276,-0.507001276,389.7530739,392.9354005
P032,POST,Punishment,-0.639930194,0.558004426,0.370788946,0.370788946,-0.639930194,-0.639930194,399.6181061,421.0465056
P033,POST,Punishment,-2.928607628,0.988495051,0.948258902,0.948258902,-2.928607628,-2.928607628,402.7437984,420.3841852
P034,POST,Punishment,-1.826446034,0.569008516,-1.635126075,-1.635126075,-1.826446034,-1.826446034,389.2912077,389.8770089
P035,POST,Punishment,-3.066596584,3.669202034,2.432798698,2.432798698,-3.066596584,-3.066596584,396.2661248,404.0016789
P036,POST,Punishment,-3.529317311,2.836176065,2.959309753,2.959309753,-3.529317311,-3.529317311,393.8149829,398.5914035
P037,POST,Punishment,-0.291233904,0.272944385,-1.181501064,-1.181501064,-0.291233904,-0.291233904,389.6485397,392.6015067
P038,POST,Punishment,-0.941435182,0.907698575,-1.171666741,-1.171666741,-0.941435182,-0.941435182,389.7176946,392.5365557
P039,POST,Punishment,-1.852664549,0.043700134,-0.613750862,-0.613750862,-1.852664549,-1.852664549,391.6437097,397.2694186
P040,POST,Punishment,-0.192165121,0.155327005,-0.491998713,-0.491998713,-0.192165121,-0.192165121,391.6900802,399.0436806
P041,POST,Punishment,-0.43779274,3.972041608,3.80764944,3.80764944,-0.43779274,-0.43779274,388.5340063,388.5340063
P042,POST,Punishment,-3.262427575,2.933865225,2.760644562,2.760644562,-3.262427575,-3.262427575,393.9229594,398.646419
P043,POST,Punishment,-0.317155328,3.200211874,0.460940673,0.460940673,-0.317155328,-0.317155328,398.3110109,416.0706416
P044,POST,Punishment,-1.504532785,0.220483329,-1.076959497,-1.076959497,-1.504532785,-1.504532785,389.9318943,392.4289611
P045,POST,Punishment,-3.363468574,3.166904258,2.593773653,2.593773653,-3.363468574,-3.363468574,396.0525115,402.415121
P046,POST,Punishment,-0.353585873,0.932435514,-0.868899134,-0.868899134,-0.353585873,-0.353585873,390.4757508,395.7333531
P047,POST,Punishment,-3.024100674,2.90376024,1.913848628,1.913848628,-3.024100674,-3.024100674,400.8666035,413.2779536
P048,POST,Punishment,-1.526311575,0.651170499,-1.223699554,-1.223699554,-1.526311575,-1.526311575,389.5805331,391.197145
P049,POST,Punishment,-1.5746077,0.161643736,-1.526708573,-1.526708573,-1.5746077,-1.5746077,389.2890099,390.2729273
P050,POST,Punishment,-2.085660171,0.305743591,-1.442588596,-1.442588596,-2.085660171,-2.085660171,389.6510079,390.3040823
P051,POST,Punishment,-2.11551746,0.012912116,-1.35637862,-1.35637862,-2.11551746,-2.11551746,389.7652366,390.419171
P052,POST,Punishment,-1.582325345,0.210655674,-1.649788182,-1.649788182,-1.582325345,-1.582325345,389.2040264,389.8570056
P053,POST,Punishment,-1.169193975,3.416521106,0.906500105,0.906500105,-1.169193975,-1.169193975,400.0457297,417.0626646
P054,POST,Punishment,-1.098499848,1.323276502,-1.417453649,-1.417453649,-1.098499848,-1.098499848,389.3120551,390.9930068
P001,PRE,Reward,-3.645325607,3.361312023,3.641266792,3.641266792,-3.645325607,-3.645325607,400.4972975,414.6774983
P002,PRE,Reward,-3.531895993,3.159910594,3.183831419,3.183831419,-3.531895993,-3.531895993,401.9915068,416.9728504
P003,PRE,Reward,-3.150425342,2.461915473,2.373965085,2.373965085,-3.150425342,-3.150425342,392.9583852,400.570764
P004,PRE,Reward,-2.054322466,1.57401179,0.761988271,0.761988271,-2.054322466,-2.054322466,389.5252877,390.8239542
P005,PRE,Reward,-0.353714766,0.137015772,-0.580997893,-0.580997893,-0.353714766,-0.353714766,388.9984218,390.3153811
P006,PRE,Reward,-3.010151432,2.933889047,2.146195745,2.146195745,-3.010151432,-3.010151432,391.2034782,395.4704271
P007,PRE,Reward,-1.131227898,0.404087871,-0.61494544,-0.61494544,-1.131227898,-1.131227898,388.7520656,389.1611483
P008,PRE,Reward,-1.542636731,1.040214154,1.322426112,1.322426112,-1.542636731,-1.542636731,392.0678642,400.9683769
P009,PRE,Reward,-2.774338289,2.400985878,2.586271174,2.586271174,-2.774338289,-2.774338289,396.0614991,407.1970423
P010,PRE,Reward,-2.673604973,2.496528812,3.086348946,3.086348946,-2.673604973,-2.673604973,399.3059567,413.7482052
P011,PRE,Reward,-2.719383911,2.499885229,3.120354636,3.120354636,-2.719383911,-2.719383911,396.4370772,410.224528
P012,PRE,Reward,-0.725280442,0.344083866,0.852727135,0.852727135,-0.725280442,-0.725280442,392.0179414,399.9058866
P013,PRE,Reward,-3.575047426,2.956763554,2.866175955,2.866175955,-3.575047426,-3.575047426,397.011195,402.9616211
P014,PRE,Reward,-3.758575705,3.664173788,4.161686511,4.161686511,-3.758575705,-3.758575705,395.1960512,405.9533285
P015,PRE,Reward,-0.647765335,0.231525631,-0.773191657,-0.773191657,-0.647765335,-0.647765335,388.7614325,389.3439106
P016,PRE,Reward,-3.427454219,2.998962911,2.905679254,2.905679254,-3.427454219,-3.427454219,393.6054541,403.8732632
P017,PRE,Reward,-3.789273287,3.635489577,4.022212636,4.022212636,-3.789273287,-3.789273287,396.1284073,407.5063708
P018,PRE,Reward,-1.641411384,2.47725803,3.170541986,3.170541986,-1.641411384,-1.641411384,394.7398828,401.9583647
P020,PRE,Reward,-2.056936663,2.141686547,2.764422131,2.764422131,-2.056936663,-2.056936663,397.6768286,411.5425124
P021,PRE,Reward,-2.617884867,2.278672355,2.792350066,2.792350066,-2.617884867,-2.617884867,396.1885055,410.2125009
P022,PRE,Reward,-3.589456677,3.20966973,3.39627338,3.39627338,-3.589456677,-3.589456677,394.9257103,403.6082438
P023,PRE,Reward,-3.072537598,3.706031353,4.373229379,4.373229379,-3.072537598,-3.072537598,390.2558629,391.7083337
P024,PRE,Reward,-2.793166731,2.278866399,2.543646909,2.543646909,-2.793166731,-2.793166731,393.6824378,405.6240797
P025,PRE,Reward,-3.202277671,2.849420591,3.257155256,3.257155256,-3.202277671,-3.202277671,398.1844886,412.6211965
P026,PRE,Reward,-2.871631097,2.679249342,3.15900033,3.15900033,-2.871631097,-2.871631097,399.9380742,416.1881127
P027,PRE,Reward,-3.043148929,2.836520276,3.307803018,3.307803018,-3.043148929,-3.043148929,396.6772523,411.9167862
P028,PRE,Reward,-3.318563641,3.442896154,4.045952416,4.045952416,-3.318563641,-3.318563641,392.6783556,401.6397723
P029,PRE,Reward,-2.642081128,2.629213832,3.238904343,3.238904343,-2.642081128,-2.642081128,396.4119272,407.8713839
P030,PRE,Reward,-3.134106028,2.889033015,3.094485368,3.094485368,-3.134106028,-3.134106028,398.3598953,411.1153626
P031,PRE,Reward,-1.920203916,0.853522861,-0.227396938,-0.227396938,-1.920203916,-1.920203916,388.8204605,388.9285924
P032,PRE,Reward,-2.551768067,2.72241107,3.300930827,3.300930827,-2.551768067,-2.551768067,397.7453125,408.850289
P033,PRE,Reward,-1.837880744,1.452065239,2.130315329,2.130315329,-1.837880744,-1.837880744,396.7871956,412.4347323
P034,PRE,Reward,-3.72440459,3.403402262,3.619068956,3.619068956,-3.72440459,-3.72440459,394.8634727,405.7022261
P035,PRE,Reward,-3.050207825,2.845170692,3.330079089,3.330079089,-3.050207825,-3.050207825,396.3904285,411.943879
P036,PRE,Reward,-3.695803956,3.437775584,3.689766092,3.689766092,-3.695803956,-3.695803956,400.7375135,413.2040014
P037,PRE,Reward,-3.339265569,2.873172576,3.18925962,3.18925962,-3.339265569,-3.339265569,397.8852048,414.4568879
P038,PRE,Reward,-3.502690866,3.879532925,4.554798221,4.554798221,-3.502690866,-3.502690866,392.4673382,397.718194
P039,PRE,Reward,-2.909800605,2.852217711,3.395905487,3.395905487,-2.909800605,-2.909800605,398.9268211,411.6448811
P040,PRE,Reward,-1.303678831,0.459175042,0.969260814,0.969260814,-1.303678831,-1.303678831,390.763806,396.8857878
P041,PRE,Reward,-1.755784712,1.651639636,2.326390864,2.326390864,-1.755784712,-1.755784712,396.7260854,412.9704088
P042,PRE,Reward,-2.297188124,2.137373577,2.790152769,2.790152769,-2.297188124,-2.297188124,396.6233321,411.8921232
P043,PRE,Reward,-2.753043709,2.272169098,2.743685721,2.743685721,-2.753043709,-2.753043709,399.0080818,415.7492488
P044,PRE,Reward,-3.663862214,3.563796146,4.025029769,4.025029769,-3.663862214,-3.663862214,400.2964939,411.9807779
P045,PRE,Reward,-3.406881727,3.441150036,4.020407985,4.020407985,-3.406881727,-3.406881727,394.1456838,404.1878645
P046,PRE,Reward,-3.036294963,2.383808512,1.929477357,1.929477357,-3.036294963,-3.036294963,390.8720921,395.1618032
P047,PRE,Reward,-2.090232025,1.888013356,2.566403549,2.566403549,-2.090232025,-2.090232025,397.5544792,411.6391284
P048,PRE,Reward,-2.96013267,2.362571331,2.614544072,2.614544072,-2.96013267,-2.96013267,395.5610666,406.4975033
P049,PRE,Reward,-1.78223045,1.87020733,1.236636481,1.236636481,-1.78223045,-1.78223045,391.2655834,396.4104459
P050,PRE,Reward,-0.846831741,-0.090929263,-1.077982292,-1.077982292,-0.846831741,-0.846831741,388.6721553,388.895918
P051,PRE,Reward,-1.643721666,0.534209579,-0.726158661,-0.726158661,-1.643721666,-1.643721666,388.7954501,388.7965269
P052,PRE,Reward,-2.397116099,1.473716988,1.162915809,1.162915809,-2.397116099,-2.397116099,389.9919563,393.9543074
P053,PRE,Reward,-3.394089561,3.357699109,3.870937827,3.870937827,-3.394089561,-3.394089561,395.969411,404.1953035
P054,PRE,Reward,-3.142140245,2.398603583,1.918892687,1.918892687,-3.142140245,-3.142140245,390.5658808,391.4039686
P001,POST,Reward,-2.264051089,2.18561519,2.807382223,2.807382223,-2.264051089,-2.264051089,396.2803445,411.6794086
P002,POST,Reward,-1.085147702,0.372896663,-0.682152856,-0.682152856,-1.085147702,-1.085147702,388.7212138,389.0161979
P003,POST,Reward,-0.384651096,0.309189344,0.352184499,0.352184499,-0.384651096,-0.384651096,390.9760995,397.3004338
P004,POST,Reward,-2.474855149,1.625310968,1.500646126,1.500646126,-2.474855149,-2.474855149,391.0140448,397.2444831
P005,POST,Reward,-3.218616012,2.426301595,2.286784285,2.286784285,-3.218616012,-3.218616012,392.8686908,402.2250951
P006,POST,Reward,-3.494686962,3.900464744,4.575325504,4.575325504,-3.494686962,-3.494686962,392.142571,395.7348017
P007,POST,Reward,-2.438771001,2.233878881,2.841534479,2.841534479,-2.438771001,-2.438771001,400.6159877,417.2341958
P008,POST,Reward,-0.864293604,0.430188485,0.039831471,0.039831471,-0.864293604,-0.864293604,389.2886042,391.3742992
P009,POST,Reward,-3.885512349,3.630963167,3.861135933,3.861135933,-3.885512349,-3.885512349,398.4219724,406.6184185
P010,POST,Reward,-2.390278014,1.842470829,2.009368204,2.009368204,-2.390278014,-2.390278014,393.9087364,404.0593395
P011,POST,Reward,-3.155123131,3.195608519,3.772526435,3.772526435,-3.155123131,-3.155123131,396.1228284,406.2405875
P012,POST,Reward,-0.600122802,0.282571385,0.80545949,0.80545949,-0.600122802,-0.600122802,392.1448934,400.5797792
P013,POST,Reward,-3.015055611,2.785890598,3.295285149,3.295285149,-3.015055611,-3.015055611,397.0809468,411.5610287
P014,POST,Reward,-1.383115469,1.120947991,1.799512728,1.799512728,-1.383115469,-1.383115469,397.1079058,412.6479797
P015,POST,Reward,-2.319797601,1.365874604,0.948528912,0.948528912,-2.319797601,-2.319797601,389.7883307,392.7035906
P016,POST,Reward,-3.542418788,3.27904617,3.587539282,3.587539282,-3.542418788,-3.542418788,398.6706495,411.0320614
P017,POST,Reward,-2.016612577,1.43999834,1.99516905,1.99516905,-2.016612577,-2.016612577,394.8060435,406.874565
P018,POST,Reward,-1.490491879,1.551749781,2.23703414,2.23703414,-1.490491879,-1.490491879,398.2669425,412.8771948
P020,POST,Reward,-2.043112645,2.100829145,2.789781706,2.789781706,-2.043112645,-2.043112645,397.7838982,411.0250197
P021,POST,Reward,-3.87356989,3.840759663,4.398866175,4.398866175,-3.87356989,-3.87356989,396.5554968,404.8064481
P022,POST,Reward,-2.606733166,2.863038072,3.4840338,3.4840338,-2.606733166,-2.606733166,394.9636869,404.3134024
P023,POST,Reward,-2.260266753,2.379691662,3.0172652,3.0172652,-2.260266753,-2.260266753,395.4969265,408.3800783
P024,POST,Reward,-2.880435609,2.881913656,3.44044772,3.44044772,-2.880435609,-2.880435609,398.0537548,408.7774646
P025,POST,Reward,-2.142814265,2.21796658,2.893486576,2.893486576,-2.142814265,-2.142814265,397.3735268,408.9455891
P026,POST,Reward,-3.548692973,3.535462113,4.037568635,4.037568635,-3.548692973,-3.548692973,395.3847219,405.6319924
P027,POST,Reward,-1.910945493,1.787036837,2.469847512,2.469847512,-1.910945493,-1.910945493,399.0019029,413.973967
P028,POST,Reward,-2.634864765,2.334066863,2.924277526,2.924277526,-2.634864765,-2.634864765,395.5952243,410.3817917
P029,POST,Reward,-3.063428013,3.891003017,4.571080698,4.571080698,-3.063428013,-3.063428013,389.8212729,392.4447335
P030,POST,Reward,-3.739762646,3.787561096,4.382286249,4.382286249,-3.739762646,-3.739762646,392.7507747,400.4080672
P031,POST,Reward,-1.68789907,0.837815849,0.016660235,0.016660235,-1.68789907,-1.68789907,389.1305921,389.867352
P032,POST,Reward,-3.926799988,3.633479826,3.807930325,3.807930325,-3.926799988,-3.926799988,397.3831633,408.2390921
P033,POST,Reward,-3.774979308,3.521264639,3.817397784,3.817397784,-3.774979308,-3.774979308,398.1577803,408.5265397
P034,POST,Reward,-2.616347358,3.942293252,4.625422876,4.625422876,-2.616347358,-2.616347358,388.6897534,388.9009577
P035,POST,Reward,-3.752884731,3.64958896,4.113229135,4.113229135,-3.752884731,-3.752884731,394.2047192,402.8485098
P036,POST,Reward,-3.156694763,3.479769061,4.133085871,4.133085871,-3.156694763,-3.156694763,392.3852977,400.3853543
P037,POST,Reward,-1.771535924,1.513026724,2.198781329,2.198781329,-1.771535924,-1.771535924,396.9047491,411.8084824
P038,POST,Reward,-3.608732532,3.937350553,4.611045361,4.611045361,-3.608732532,-3.608732532,392.3575191,397.3072294
P039,POST,Reward,-1.712717834,1.860389995,2.544935097,2.544935097,-1.712717834,-1.712717834,397.4202664,411.0132013
P040,POST,Reward,-2.553636528,1.95001469,1.60617031,1.60617031,-2.553636528,-2.553636528,389.8562093,392.518676
P041,POST,Reward,-2.815639869,2.678689675,3.197915273,3.197915273,-2.815639869,-2.815639869,394.9380672,410.6990708
P042,POST,Reward,-1.758990149,1.608958195,2.291408736,2.291408736,-1.758990149,-1.758990149,397.3953204,413.086541
P043,POST,Reward,-1.78867766,1.93552054,2.621719273,2.621719273,-1.78867766,-1.78867766,398.6688149,413.5182896
P044,POST,Reward,-2.081049672,1.533880658,1.829739044,1.829739044,-2.081049672,-2.081049672,392.9632098,401.7871944
P045,POST,Reward,-3.542552274,3.927296948,4.602757038,4.602757038,-3.542552274,-3.542552274,392.6904539,396.1640474
P046,POST,Reward,-2.644957741,2.864859741,3.490799369,3.490799369,-2.644957741,-2.644957741,396.6867522,405.7443155
P047,POST,Reward,-2.177319147,2.039440911,2.709085471,2.709085471,-2.177319147,-2.177319147,397.6780701,412.3719173
P048,POST,Reward,-1.71044778,0.539314034,-0.635058755,-0.635058755,-1.71044778,-1.71044778,388.7571867,388.7705419
P049,POST,Reward,-1.231897812,0.118688967,-1.063259028,-1.063259028,-1.231897812,-1.231897812,388.6278025,388.762219
P050,POST,Reward,-3.70007609,3.055480966,2.856818594,2.856818594,-3.70007609,-3.70007609,396.6899966,409.7534891
P051,POST,Reward,-1.217320028,0.195926255,-0.884870925,-0.884870925,-1.217320028,-1.217320028,388.714029,388.8662127
P052,POST,Reward,-1.237223708,0.099140332,-0.937830861,-0.937830861,-1.237223708,-1.237223708,388.6603666,388.7415523
P053,POST,Reward,-3.156694763,3.479769061,4.133085871,4.133085871,-3.156694763,-3.156694763,392.3852977,400.3853543
P054,POST,Reward,-3.177554913,2.899861062,3.329337848,3.329337848,-3.177554913,-3.177554913,394.607777,406.580883
